id_client;surname;name;patronymic;phone_number;age
1;Негирова;Анастасия;Михайловна;87894561230;21
2;Березова;Ольга;Ивановна;88745511644;66
8;Царевич;Иван;Колыванович;89506304578;23
11;Золотов;Александр;Владимирович;87845616573;32
12;Прунина;Анна;Олеговна;84765834768;40
13;Плесникова;Ольга;Ивановна;89789441515;19
14;Беляков;Виктор;Сергееивч;89012341242;19
15;Шумилов;Валерий;Михайлович;82342354234;23
16;Смирнова;Дарья;Павловна;84358347593;18
17;Юрева;Ульяна;Анатольевна;81554235232;28
18;Обухина;Виктория;Сергеевна;85234423423;31
19;Рябиков;Дмитрий;Алексеевич;86745634534;19
20;Пахтусов;Алексей;Алексеевич;83546423556;19
21;Охлопков;Андрей;Анатольевич;85235434534;20
22;Смирнов;Олег;Сергеевич;84635423412;22
23;Шипкова;Виктория;Олеговна;85345634523;23
24;Удалова;Мария;Михайловна;84634563245;28
25;Петров;Михаил;Андреевич;84856634534;48
27;Песков;Андрей;Артемович;85234234214;26
28;Красильникова;Арина;Олеговна;82342342342;48
29;Верхорубов;Данил;Михайлович;85564345345;33
30;Удалова;Евгения;Михайловна;86533452354;19
31;Пеньков;Никита;Андреевич;82342534532;19
32;Беляков;Вадим;Александрович;89566345325;19
33;Сенцов;Кирилл;Валерьевич;86345342532;35
34;Конкин;Никита;Александрович;85764563453;19
35;Кузнецов;Илья;Александрович;86536743524;19
36;Сизанкова;Кира;Олеговна;88567456435;19
37;Перунин;Илья;Андреевич;88896576456;44
38;Мишутова;Виктория;Павловна;89856456345;58
39;Смирнов;Глеб;Никитич;86746745634;25
40;Смирнова;Ульяна;Дмитриевна;89463452323;18
41;Доронин;Матвей;Вячеславович;89676735658;21
42;Мальцев;Антон;Антонович;87654365324;27
43;Дремин;Иван;Андреевич;89885634523;32
44;Кудряшов;Ефим;Евгеньевич;85687463453;18
45;Романова;Ева;Дмитриевна;89856745634;24
46;Семенов;Дмитрий;Олегович;88569856747;68
47;Ширкунов;Сергей;Анатольеивич;89567456345;27
48;Мудров;Максим;Алексееивч;86456345324;24
49;Рожов;Кирилл;Петрович;85634523423;27
50;Бодров;Константин;Михайлович;89047964234;34
51;Мелентьев;Максим;Андреевич;87634523423;18
52;Вербин;Павел;Анатольевич;82342112312;30
