id_master;surname;name;patronymic;experience;phone_number
1;Сутулов;Андрей;Викторович;8;89542457155
2;Андропов;Петр;Васильевич;3;89515145151
3;Генералов;Дмитрий;Дмитриевич;11;89895515515
6;Курсаков;Иван;Олегович;1;89535544422
7;Заренкова;Анастасия;Евгеньевна;3;83214645465
8;Арцыбашева;Александра;Александровна;4;82154544488
9;Каширин;Даниил;Олегович;5;89552958484
10;Повелайтис;Владислав;Петрович;2;89848444422
11;Солунин;Никита;Владиславович;9;84515115211
15;Иванов;Иван;Александрвич;12;89678567456
